,Unnamed: 0,store_id,store_name,score,area,review_count,daytime_price,daytime_price_low,daytime_price_high,nighttime_price,nighttime_price_low,nighttime_price_high,photo_count,like_count,bookmark_count
152,152,153,焼鳥 月や,3.57,東京都内,175,-,,,"￥15,000～￥19,999",15000,19999,392,3,12
153,153,154,神楽坂 夢二,3.46,東京都内,242,"￥2,000～￥2,999",2000.0,2999.0,"￥8,000～￥9,999",8000,9999,240,7,31
154,154,155,THE ROAST KOBE MEAT HOUSE,3.27,東京都内,89,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,85,12,20
155,155,156,韓流館,3.28,東京都内,97,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,136,7,9
156,156,157,旬の鮮魚と日本酒 作,3.12,東京都内,40,～￥999,1.0,999.0,"￥5,000～￥5,999",5000,5999,91,61,10
157,157,158,プティデリリウム タップ カフェ 新宿サザンテラス店,3.45,東京都内,549,"￥1,000～￥1,999",1000.0,1999.0,"￥5,000～￥5,999",5000,5999,82,2,6
158,158,159,日比谷 個室和食 栄,3.01,東京都内,9,"￥3,000～￥3,999",3000.0,3999.0,"￥6,000～￥7,999",6000,7999,92,13,3
159,159,160,北海道 炉端 えぞ羅,3.4,東京都内,166,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,96,62,35
160,160,161,炭火串焼き鳥と野菜巻きのお店 めがみや 表参道店,3.14,東京都内,35,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,168,58,11
161,161,162,Hola！ Ginza7,3.43,東京都内,244,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,108,2,13
162,162,163,個室居酒屋 花ぜん 東口別邸,3.03,東京都内,57,"￥3,000～￥3,999",3000.0,3999.0,"￥4,000～￥4,999",4000,4999,120,93,4
163,163,164,個室会席 北大路 銀座本店,3.25,東京都内,181,-,,,"￥10,000～￥14,999",10000,14999,199,35,24
164,164,165,FULLMOoN 新橋虎ノ門店,3.06,東京都内,54,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,203,3,11
165,165,166,西麻布　日本料理「利久。」,3.33,東京都内,74,-,,,"￥8,000～￥9,999",8000,9999,120,20,11
166,166,167,黒毛和牛A4A5 焼肉ありらん 新宿本店,3.35,東京都内,76,-,,,"￥4,000～￥4,999",4000,4999,104,35,25
167,167,168,ひとりしゃぶしゃぶ 七代目 松五郎,3.47,東京都内,322,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,118,3,94
168,168,169,和創作 空 西新宿,3.44,東京都内,380,-,,,"￥4,000～￥4,999",4000,4999,257,3,13
169,169,170,ダイナミックキッチン＆バー 響  西新宿野村ビル店,3.26,東京都内,341,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,188,1,4
170,170,171,KAZAN,3.59,東京都内,901,"￥4,000～￥4,999",4000.0,4999.0,"￥10,000～￥14,999",10000,14999,232,4,14
171,171,172,Osteria Barababao 銀座,3.49,東京都内,768,"￥2,000～￥2,999",2000.0,2999.0,"￥6,000～￥7,999",6000,7999,152,5,8
172,172,173,Bonne qúela,3.53,東京都内,182,"￥2,000～￥2,999",2000.0,2999.0,"￥8,000～￥9,999",8000,9999,324,33,26
173,173,174,海鮮料理・日本酒 漁蔵 新橋店,3.01,東京都内,6,-,,,"￥3,000～￥3,999",3000,3999,24,0,1
174,174,175,日本元気酒場 浜松町ホルモン,3.05,東京都内,56,-,,,"￥3,000～￥3,999",3000,3999,142,8,1
175,175,176,かにざんまい 新宿店,3.28,東京都内,96,"￥2,000～￥2,999",2000.0,2999.0,"￥5,000～￥5,999",5000,5999,165,7,13
176,176,177,SUNRISE 大崎店,3.01,東京都内,10,"￥1,000～￥1,999",1000.0,1999.0,"￥2,000～￥2,999",2000,2999,67,3,15
177,177,178,洞窟おでん,3.24,東京都内,80,-,,,"￥4,000～￥4,999",4000,4999,175,45,21
178,178,179,神楽坂 九頭龍蕎麦 msb Tamachi店,3.48,東京都内,212,～￥999,1.0,999.0,"￥5,000～￥5,999",5000,5999,178,12,44
